Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Product,Quantity,Unit_Price,Sales,Discount,Profit,Region,Payment_Method
ORD-10034,2025-05-07,CUST-0027,Customer 27,Office Supplies,Printer Paper,2,70.56,127.01,0.1,53.23,East,Bank Transfer
ORD-10035,2025-12-21,CUST-0050,Customer 50,Electronics,Smartphone,1,743.53,743.53,0.0,156.03,West,Bank Transfer
ORD-10036,2025-05-23,CUST-0092,Customer 92,Electronics,Monitor,2,135.43,243.77,0.1,50.93,North,Debit Card
ORD-10037,2025-05-30,CUST-0058,Customer 58,Furniture,Sofa,2,50.44,100.88,0.0,28.78,South,Mobile Banking
ORD-10038,2025-09-21,CUST-0053,Customer 53,Electronics,Laptop,4,278.59,1002.92,0.1,208.05,North,Cash
ORD-10039,2025-11-07,CUST-0040,Customer 40,Furniture,Bookshelf,4,118.94,380.61,0.2,109.83,East,Credit Card
ORD-10040,2025-04-02,CUST-0058,Customer 58,Furniture,Bookshelf,7,198.08,1386.56,0.0,426.47,East,Credit Card
ORD-10041,2025-02-27,CUST-0001,Customer 1,Office Supplies,Notebook,7,22.27,148.1,0.05,61.99,West,Bank Transfer
ORD-10042,2025-07-11,CUST-0063,Customer 63,Electronics,Keyboard,5,743.77,3532.91,0.05,715.65,West,Mobile Banking
ORD-10043,2025-10-12,CUST-0078,Customer 78,Office Supplies,Notebook,4,6.54,26.16,0.0,10.84,West,Bank Transfer
ORD-10044,2025-12-07,CUST-0039,Customer 39,Furniture,Desk,4,146.05,554.99,0.05,165.41,South,Bank Transfer
ORD-10045,2025-08-11,CUST-0010,Customer 10,Accessories,Phone Case,2,168.55,320.24,0.05,119.71,North,Cash
ORD-10046,2025-06-09,CUST-0091,Customer 91,Office Supplies,Printer Paper,4,47.31,179.78,0.05,75.63,North,Bank Transfer
ORD-10047,2025-09-25,CUST-0067,Customer 67,Furniture,Sofa,1,674.0,572.9,0.15,174.23,North,Cash
ORD-10048,2025-09-10,CUST-0115,Customer 115,Electronics,Smartphone,2,827.53,1655.06,0.0,331.72,South,Debit Card
ORD-10049,2025-04-25,CUST-0105,Customer 105,Electronics,Smartphone,7,163.84,1032.19,0.1,197.28,North,Cash
ORD-10050,2025-09-06,CUST-0036,Customer 36,Furniture,Sofa,2,313.73,564.71,0.1,165.3,East,Cash
ORD-10051,2025-09-25,CUST-0113,Customer 113,Electronics,Keyboard,7,907.27,5715.8,0.1,1182.63,North,Credit Card
ORD-10052,2025-12-08,CUST-0013,Customer 13,Furniture,Office Chair,3,96.99,290.97,0.0,81.83,East,Cash
ORD-10053,2025-07-25,CUST-0095,Customer 95,Electronics,Monitor,4,698.79,2515.64,0.1,494.44,East,Cash
ORD-10054,2025-02-22,CUST-0023,Customer 23,Electronics,Headphones,1,158.32,134.57,0.15,24.33,South,Debit Card
ORD-10055,2025-08-23,CUST-0075,Customer 75,Furniture,Sofa,2,679.0,1222.2,0.1,348.19,North,Bank Transfer
ORD-10056,2025-06-17,CUST-0042,Customer 42,Accessories,Webcam,1,149.36,134.42,0.1,52.1,North,Mobile Banking
ORD-10057,2025-11-17,CUST-0086,Customer 86,Office Supplies,File Folder,4,21.22,72.15,0.15,30.46,West,Cash
ORD-10058,2025-12-30,CUST-0054,Customer 54,Electronics,Keyboard,7,523.46,3114.59,0.15,643.67,East,Bank Transfer
ORD-10059,2025-05-06,CUST-0058,Customer 58,Electronics,Monitor,4,164.61,658.44,0.0,125.45,North,Mobile Banking
ORD-10060,2025-07-10,CUST-0113,Customer 113,Office Supplies,Notebook,1,69.88,69.88,0.0,28.73,West,Bank Transfer
ORD-10061,2025-10-30,CUST-0021,Customer 21,Accessories,Webcam,6,167.04,851.9,0.15,325.78,East,Cash
ORD-10062,2025-11-01,CUST-0014,Customer 14,Electronics,Laptop,7,559.09,3522.27,0.1,677.93,West,Credit Card
ORD-10063,2025-08-12,CUST-0016,Customer 16,Accessories,Mouse,6,86.37,466.4,0.1,178.01,West,Cash
ORD-10064,2025-11-12,CUST-0050,Customer 50,Furniture,Desk,4,82.08,262.66,0.2,73.65,South,Credit Card
ORD-10065,2025-07-31,CUST-0077,Customer 77,Electronics,Keyboard,4,343.38,1373.52,0.0,285.3,South,Debit Card
ORD-10066,2025-10-30,CUST-0025,Customer 25,Furniture,Sofa,2,85.44,145.25,0.15,42.62,North,Credit Card
ORD-10067,2025-08-12,CUST-0111,Customer 111,Office Supplies,Printer Paper,1,32.01,28.81,0.1,12.34,East,Mobile Banking
ORD-10068,2025-04-08,CUST-0105,Customer 105,Furniture,Office Chair,3,119.68,359.04,0.0,110.49,West,Credit Card
ORD-10069,2025-12-24,CUST-0003,Customer 3,Furniture,Sofa,5,422.05,1899.22,0.1,545.62,East,Credit Card
ORD-10070,2025-01-01,CUST-0051,Customer 51,Electronics,Laptop,5,737.26,3686.3,0.0,699.84,West,Debit Card
ORD-10071,2025-09-07,CUST-0034,Customer 34,Electronics,Smartphone,6,932.47,5315.08,0.05,980.28,South,Cash
ORD-10072,2025-11-09,CUST-0017,Customer 17,Furniture,Bookshelf,7,49.28,310.46,0.1,90.47,South,Mobile Banking
ORD-10073,2025-08-14,CUST-0038,Customer 38,Electronics,Monitor,2,718.15,1364.48,0.05,268.63,East,Debit Card
ORD-10074,2025-12-01,CUST-0030,Customer 30,Electronics,Laptop,7,640.23,4033.45,0.1,750.65,South,Credit Card
ORD-10075,2025-12-06,CUST-0088,Customer 88,Furniture,Table Lamp,5,686.62,3261.44,0.05,978.88,East,Mobile Banking
ORD-10076,2025-04-21,CUST-0023,Customer 23,Electronics,Headphones,7,712.1,4735.46,0.05,895.33,West,Cash
ORD-10077,2025-12-18,CUST-0067,Customer 67,Electronics,Headphones,3,809.38,2428.14,0.0,495.9,East,Bank Transfer
ORD-10078,2025-06-19,CUST-0061,Customer 61,Electronics,Monitor,6,129.23,775.38,0.0,152.11,South,Debit Card
ORD-10079,2025-10-28,CUST-0027,Customer 27,Electronics,Smartphone,1,133.44,126.77,0.05,24.01,West,Mobile Banking
ORD-10080,2025-12-03,CUST-0026,Customer 26,Accessories,Webcam,4,146.67,528.01,0.1,203.0,East,Debit Card
ORD-10081,2025-12-31,CUST-0026,Customer 26,Office Supplies,Printer Paper,6,14.38,86.28,0.0,36.18,East,Mobile Banking
ORD-10082,2025-10-01,CUST-0038,Customer 38,Furniture,Sofa,3,296.1,888.3,0.0,255.72,West,Debit Card
ORD-10083,2025-08-19,CUST-0086,Customer 86,Furniture,Office Chair,2,388.67,777.34,0.0,232.98,North,Cash
ORD-10084,2025-04-19,CUST-0018,Customer 18,Electronics,Laptop,7,711.43,4482.01,0.1,866.23,West,Credit Card
ORD-10085,2025-04-11,CUST-0006,Customer 6,Furniture,Desk,4,462.76,1665.94,0.1,498.64,North,Bank Transfer
ORD-10086,2025-05-30,CUST-0021,Customer 21,Accessories,Webcam,6,70.84,403.79,0.05,147.17,South,Credit Card
ORD-10087,2025-01-31,CUST-0040,Customer 40,Electronics,Headphones,5,1179.29,5896.45,0.0,1167.88,West,Mobile Banking
ORD-10088,2025-04-04,CUST-0120,Customer 120,Accessories,Backpack,6,123.01,627.35,0.15,234.19,West,Debit Card
ORD-10089,2025-05-13,CUST-0070,Customer 70,Electronics,Monitor,2,405.32,770.11,0.05,150.0,North,Cash
ORD-10090,2025-05-22,CUST-0064,Customer 64,Electronics,Smartphone,6,707.95,4247.7,0.0,830.7,East,Mobile Banking
ORD-10091,2025-01-10,CUST-0005,Customer 5,Electronics,Smartphone,7,669.98,4689.86,0.0,888.55,West,Credit Card
ORD-10092,2025-09-30,CUST-0009,Customer 9,Electronics,Laptop,3,580.97,1568.62,0.1,292.03,East,Credit Card
ORD-10093,2025-08-24,CUST-0050,Customer 50,Accessories,Phone Case,6,168.47,808.66,0.2,310.4,East,Mobile Banking
ORD-10094,2025-11-16,CUST-0093,Customer 93,Accessories,Phone Case,3,144.79,434.37,0.0,167.27,North,Bank Transfer
ORD-10095,2025-03-19,CUST-0026,Customer 26,Accessories,USB Cable,6,69.72,355.57,0.15,134.49,West,Mobile Banking
ORD-10096,2025-01-23,CUST-0063,Customer 63,Office Supplies,Notebook,7,47.47,315.68,0.05,135.19,South,Bank Transfer
ORD-10097,2025-02-08,CUST-0051,Customer 51,Accessories,USB Cable,6,169.65,916.11,0.1,348.08,West,Cash
ORD-10098,2025-10-16,CUST-0116,Customer 116,Office Supplies,File Folder,6,71.83,387.88,0.1,168.9,North,Bank Transfer
ORD-10099,2025-09-11,CUST-0068,Customer 68,Electronics,Laptop,6,864.03,4924.97,0.05,922.75,South,Bank Transfer
ORD-10100,2025-12-31,CUST-0088,Customer 88,Electronics,Monitor,4,491.81,1770.52,0.1,363.85,East,Cash
ORD-10101,2025-04-05,CUST-0115,Customer 115,Office Supplies,Printer Paper,3,46.54,125.66,0.1,53.03,West,Mobile Banking
ORD-10102,2025-10-29,CUST-0107,Customer 107,Accessories,Mouse,4,164.84,659.36,0.0,255.16,North,Cash
ORD-10103,2025-12-22,CUST-0112,Customer 112,Office Supplies,Stapler,4,63.84,255.36,0.0,107.37,North,Cash
ORD-10104,2025-02-20,CUST-0029,Customer 29,Electronics,Laptop,6,1122.88,5726.69,0.15,1125.15,South,Bank Transfer
ORD-10105,2025-07-01,CUST-0087,Customer 87,Accessories,Phone Case,1,65.13,61.87,0.05,23.71,East,Bank Transfer
ORD-10106,2025-05-17,CUST-0074,Customer 74,Electronics,Keyboard,4,950.65,3422.34,0.1,706.96,West,Credit Card
ORD-10107,2025-07-29,CUST-0091,Customer 91,Accessories,Mouse,2,165.97,298.75,0.1,116.22,East,Mobile Banking
ORD-10108,2025-06-29,CUST-0070,Customer 70,Electronics,Laptop,5,1099.94,5224.71,0.05,1006.19,South,Debit Card
ORD-10109,2025-02-18,CUST-0071,Customer 71,Electronics,Keyboard,1,1154.26,1154.26,0.0,228.04,West,Bank Transfer
ORD-10110,2025-08-12,CUST-0013,Customer 13,Electronics,Laptop,6,906.2,5437.2,0.0,995.32,West,Bank Transfer
ORD-10111,2025-10-13,CUST-0016,Customer 16,Office Supplies,File Folder,3,8.06,21.76,0.1,9.28,South,Cash
ORD-10112,2025-11-15,CUST-0004,Customer 4,Furniture,Bookshelf,1,254.02,254.02,0.0,73.01,South,Debit Card
ORD-10113,2025-03-28,CUST-0055,Customer 55,Accessories,Mouse,4,152.44,518.3,0.15,195.79,North,Mobile Banking
ORD-10114,2025-09-12,CUST-0072,Customer 72,Electronics,Headphones,6,423.64,2287.66,0.1,419.5,West,Debit Card
ORD-10115,2025-06-14,CUST-0054,Customer 54,Accessories,USB Cable,5,77.9,370.02,0.05,143.34,South,Credit Card
ORD-10116,2025-04-22,CUST-0019,Customer 19,Electronics,Headphones,4,780.44,2809.58,0.1,513.26,North,Cash
ORD-10117,2025-07-14,CUST-0087,Customer 87,Electronics,Smartphone,7,339.97,2141.81,0.1,423.47,South,Credit Card
ORD-10118,2025-12-21,CUST-0116,Customer 116,Furniture,Table Lamp,2,541.62,1083.24,0.0,307.58,West,Mobile Banking
ORD-10119,2025-04-25,CUST-0081,Customer 81,Accessories,Backpack,6,135.57,732.08,0.1,276.67,North,Mobile Banking
ORD-10120,2025-01-29,CUST-0109,Customer 109,Furniture,Desk,2,212.45,424.9,0.0,120.06,North,Debit Card
ORD-10121,2025-01-17,CUST-0037,Customer 37,Furniture,Desk,1,363.3,326.97,0.1,100.32,South,Bank Transfer
ORD-10122,2025-06-17,CUST-0098,Customer 98,Electronics,Headphones,4,768.89,2921.78,0.05,563.32,North,Debit Card
ORD-10123,2025-02-15,CUST-0064,Customer 64,Furniture,Desk,2,141.41,254.54,0.1,78.28,West,Mobile Banking
ORD-10124,2025-09-24,CUST-0040,Customer 40,Electronics,Keyboard,3,442.92,1195.88,0.1,240.48,East,Debit Card
ORD-10125,2025-11-08,CUST-0033,Customer 33,Furniture,Sofa,2,50.89,101.78,0.0,29.73,East,Credit Card
ORD-10126,2025-07-20,CUST-0026,Customer 26,Furniture,Sofa,2,101.42,202.84,0.0,58.45,North,Bank Transfer
ORD-10127,2025-01-25,CUST-0039,Customer 39,Office Supplies,Printer Paper,3,66.07,178.39,0.1,74.77,South,Debit Card
ORD-10128,2025-02-13,CUST-0059,Customer 59,Electronics,Keyboard,3,1155.47,3119.77,0.1,590.52,North,Cash
ORD-10129,2025-09-21,CUST-0095,Customer 95,Furniture,Bookshelf,5,538.55,2423.48,0.1,704.95,West,Credit Card
ORD-10130,2025-05-23,CUST-0059,Customer 59,Accessories,Phone Case,2,16.87,30.37,0.1,11.8,West,Credit Card
ORD-10131,2025-03-27,CUST-0007,Customer 7,Electronics,Keyboard,6,166.61,899.69,0.1,183.74,West,Debit Card
ORD-10132,2025-03-23,CUST-0095,Customer 95,Furniture,Sofa,6,66.77,380.59,0.05,112.02,East,Credit Card
ORD-10133,2025-04-18,CUST-0060,Customer 60,Office Supplies,Pen Set,5,8.93,40.18,0.1,17.27,East,Cash
ORD-10134,2025-01-04,CUST-0093,Customer 93,Furniture,Office Chair,6,243.56,1315.22,0.1,372.76,South,Cash
ORD-10135,2025-06-19,CUST-0034,Customer 34,Electronics,Headphones,6,25.28,151.68,0.0,30.11,West,Mobile Banking
ORD-10136,2025-01-29,CUST-0062,Customer 62,Electronics,Monitor,1,497.27,472.41,0.05,90.31,West,Cash
ORD-10137,2025-12-25,CUST-0084,Customer 84,Accessories,Mouse,5,133.95,669.75,0.0,251.81,West,Debit Card
ORD-10138,2025-06-02,CUST-0048,Customer 48,Electronics,Keyboard,1,1094.65,1094.65,0.0,226.28,North,Cash
ORD-10139,2025-10-20,CUST-0061,Customer 61,Electronics,Smartphone,5,130.06,617.78,0.05,113.44,South,Mobile Banking
ORD-10140,2025-06-02,CUST-0071,Customer 71,Accessories,Mouse,4,19.18,72.88,0.05,26.59,South,Bank Transfer
ORD-10141,2025-04-17,CUST-0098,Customer 98,Accessories,Mouse,1,45.92,45.92,0.0,16.83,South,Bank Transfer
ORD-10142,2025-01-09,CUST-0099,Customer 99,Electronics,Laptop,4,1194.02,4776.08,0.0,946.2,South,Debit Card
ORD-10143,2025-06-09,CUST-0099,Customer 99,Office Supplies,Pen Set,6,50.97,275.24,0.1,120.82,West,Bank Transfer
ORD-10144,2025-11-19,CUST-0092,Customer 92,Electronics,Laptop,5,1069.28,4277.12,0.2,787.57,North,Credit Card
ORD-10145,2025-08-14,CUST-0088,Customer 88,Furniture,Bookshelf,4,279.7,1118.8,0.0,322.55,South,Debit Card
ORD-10146,2025-06-25,CUST-0077,Customer 77,Electronics,Monitor,4,114.45,389.13,0.15,75.94,West,Bank Transfer
ORD-10147,2025-02-25,CUST-0040,Customer 40,Accessories,USB Cable,2,101.53,172.6,0.15,63.51,West,Mobile Banking
ORD-10148,2025-12-19,CUST-0059,Customer 59,Accessories,Phone Case,3,35.59,101.43,0.05,38.83,North,Debit Card
ORD-10149,2025-07-07,CUST-0007,Customer 7,Electronics,Headphones,5,1060.02,4505.08,0.15,942.11,East,Debit Card
ORD-10150,2025-06-07,CUST-0039,Customer 39,Electronics,Headphones,7,26.32,165.82,0.1,31.06,West,Debit Card
ORD-10151,2025-04-23,CUST-0105,Customer 105,Electronics,Headphones,1,161.12,153.06,0.05,32.1,North,Mobile Banking
ORD-10152,2025-03-15,CUST-0105,Customer 105,Electronics,Headphones,2,426.7,768.06,0.1,139.82,North,Cash
ORD-10153,2025-08-30,CUST-0068,Customer 68,Electronics,Monitor,3,220.49,595.32,0.1,112.36,South,Credit Card
ORD-10154,2025-07-29,CUST-0050,Customer 50,Electronics,Headphones,6,1168.85,5610.48,0.2,1052.02,East,Cash
ORD-10155,2025-02-02,CUST-0006,Customer 6,Office Supplies,File Folder,7,40.63,255.97,0.1,107.38,South,Debit Card
ORD-10156,2025-01-04,CUST-0081,Customer 81,Electronics,Keyboard,3,555.38,1666.14,0.0,310.16,North,Mobile Banking
ORD-10157,2025-06-24,CUST-0078,Customer 78,Electronics,Smartphone,4,794.05,3176.2,0.0,576.4,West,Cash
ORD-10158,2025-03-25,CUST-0006,Customer 6,Office Supplies,File Folder,3,24.11,57.86,0.2,24.75,West,Debit Card
ORD-10159,2025-10-08,CUST-0024,Customer 24,Electronics,Laptop,4,686.23,2607.67,0.05,505.11,West,Credit Card
ORD-10160,2025-01-08,CUST-0079,Customer 79,Accessories,Webcam,3,153.3,413.91,0.1,153.65,West,Cash
ORD-10161,2025-02-15,CUST-0015,Customer 15,Electronics,Monitor,1,26.45,23.8,0.1,4.56,West,Cash
ORD-10162,2025-11-15,CUST-0086,Customer 86,Furniture,Office Chair,6,248.37,1341.2,0.1,398.34,West,Bank Transfer
ORD-10163,2025-10-01,CUST-0094,Customer 94,Electronics,Keyboard,2,588.93,1060.07,0.1,213.34,North,Credit Card
ORD-10164,2025-09-24,CUST-0086,Customer 86,Accessories,Backpack,3,26.05,78.15,0.0,28.17,West,Cash
ORD-10165,2025-08-30,CUST-0097,Customer 97,Office Supplies,Printer Paper,2,44.14,75.04,0.15,32.83,North,Cash
ORD-10166,2025-06-15,CUST-0103,Customer 103,Electronics,Smartphone,2,835.12,1419.7,0.15,289.61,East,Cash
ORD-10167,2025-11-13,CUST-0067,Customer 67,Electronics,Headphones,3,62.11,158.38,0.15,33.01,West,Credit Card
ORD-10168,2025-12-14,CUST-0062,Customer 62,Office Supplies,Printer Paper,4,29.14,99.08,0.15,43.36,West,Cash
ORD-10169,2025-01-03,CUST-0041,Customer 41,Office Supplies,Printer Paper,4,59.33,237.32,0.0,103.99,East,Cash
ORD-10170,2025-08-31,CUST-0019,Customer 19,Electronics,Keyboard,7,577.46,3638.0,0.1,668.83,North,Mobile Banking
ORD-10171,2025-07-30,CUST-0022,Customer 22,Electronics,Smartphone,5,1195.69,4782.76,0.2,911.07,South,Mobile Banking
ORD-10172,2025-07-26,CUST-0097,Customer 97,Office Supplies,File Folder,7,38.62,229.79,0.15,96.09,North,Cash
ORD-10173,2025-12-30,CUST-0020,Customer 20,Office Supplies,Stapler,4,6.09,20.71,0.15,8.75,West,Debit Card
ORD-10174,2025-03-07,CUST-0079,Customer 79,Office Supplies,Stapler,2,64.06,115.31,0.1,47.3,South,Bank Transfer
ORD-10175,2025-01-18,CUST-0040,Customer 40,Electronics,Keyboard,5,886.41,4432.05,0.0,835.55,West,Debit Card
ORD-10176,2025-10-20,CUST-0069,Customer 69,Electronics,Smartphone,6,603.43,3620.58,0.0,665.74,East,Credit Card
ORD-10177,2025-12-11,CUST-0028,Customer 28,Office Supplies,Notebook,2,69.06,138.12,0.0,58.33,West,Cash
ORD-10178,2025-01-10,CUST-0067,Customer 67,Accessories,USB Cable,6,37.2,212.04,0.05,80.55,South,Credit Card
ORD-10179,2025-09-21,CUST-0043,Customer 43,Furniture,Table Lamp,4,503.54,2014.16,0.0,614.26,North,Mobile Banking
ORD-10180,2025-07-23,CUST-0037,Customer 37,Office Supplies,File Folder,1,68.0,57.8,0.15,24.42,East,Cash
ORD-10181,2025-11-30,CUST-0002,Customer 2,Furniture,Table Lamp,1,385.88,328.0,0.15,101.29,East,Mobile Banking
ORD-10182,2025-02-28,CUST-0069,Customer 69,Furniture,Sofa,1,369.85,369.85,0.0,113.01,North,Debit Card
ORD-10183,2025-05-06,CUST-0098,Customer 98,Accessories,USB Cable,1,117.93,100.24,0.15,37.73,East,Mobile Banking
ORD-10184,2025-10-21,CUST-0084,Customer 84,Furniture,Table Lamp,7,50.08,333.03,0.05,96.2,South,Cash
ORD-10185,2025-12-07,CUST-0001,Customer 1,Office Supplies,Printer Paper,7,54.79,364.35,0.05,150.82,South,Debit Card
ORD-10186,2025-04-24,CUST-0082,Customer 82,Office Supplies,Printer Paper,1,66.98,56.93,0.15,23.74,East,Credit Card
ORD-10187,2025-01-01,CUST-0019,Customer 19,Office Supplies,Notebook,7,53.73,357.3,0.05,150.23,South,Cash
ORD-10188,2025-06-10,CUST-0041,Customer 41,Electronics,Laptop,1,1048.14,943.33,0.1,182.05,North,Mobile Banking
ORD-10189,2025-04-12,CUST-0110,Customer 110,Accessories,Webcam,4,122.83,417.62,0.15,153.32,North,Mobile Banking
ORD-10190,2025-12-10,CUST-0054,Customer 54,Accessories,Backpack,7,8.99,59.78,0.05,22.66,East,Bank Transfer
ORD-10191,2025-11-01,CUST-0096,Customer 96,Furniture,Sofa,1,327.76,327.76,0.0,95.83,West,Debit Card
ORD-10192,2025-01-03,CUST-0085,Customer 85,Office Supplies,Notebook,2,76.26,129.64,0.15,53.49,North,Debit Card
ORD-10193,2025-10-31,CUST-0037,Customer 37,Electronics,Keyboard,7,651.98,4107.47,0.1,768.32,South,Debit Card
ORD-10194,2025-01-21,CUST-0023,Customer 23,Office Supplies,Pen Set,3,3.58,9.67,0.1,3.99,North,Cash
ORD-10195,2025-10-04,CUST-0013,Customer 13,Accessories,Phone Case,6,41.46,248.76,0.0,92.41,North,Cash
ORD-10196,2025-08-27,CUST-0028,Customer 28,Office Supplies,File Folder,3,47.73,143.19,0.0,59.92,South,Credit Card
ORD-10197,2025-12-11,CUST-0094,Customer 94,Accessories,Mouse,3,29.19,74.43,0.15,27.24,East,Credit Card
ORD-10198,2025-02-05,CUST-0084,Customer 84,Furniture,Desk,4,88.32,300.29,0.15,89.73,North,Debit Card
ORD-10199,2025-04-28,CUST-0021,Customer 21,Electronics,Keyboard,6,722.41,3901.01,0.1,743.54,West,Debit Card
ORD-10200,2025-03-13,CUST-0024,Customer 24,Electronics,Smartphone,1,303.32,272.99,0.1,55.08,East,Cash
ORD-10201,2025-12-11,CUST-0018,Customer 18,Furniture,Desk,3,447.99,1276.77,0.05,373.33,East,Credit Card
ORD-10202,2025-06-10,CUST-0119,Customer 119,Office Supplies,Printer Paper,5,10.37,51.85,0.0,21.82,West,Mobile Banking
ORD-10203,2025-09-11,CUST-0025,Customer 25,Electronics,Keyboard,2,347.58,625.64,0.1,118.7,South,Bank Transfer
ORD-10204,2025-10-07,CUST-0060,Customer 60,Office Supplies,Notebook,6,11.02,59.51,0.1,25.15,East,Bank Transfer
ORD-10205,2025-12-19,CUST-0036,Customer 36,Electronics,Keyboard,3,496.4,1414.74,0.05,282.51,East,Cash
ORD-10206,2025-05-10,CUST-0060,Customer 60,Furniture,Table Lamp,5,76.85,345.82,0.1,104.39,West,Debit Card
ORD-10207,2025-02-27,CUST-0003,Customer 3,Office Supplies,Stapler,6,54.55,261.84,0.2,110.01,North,Mobile Banking
ORD-10208,2025-09-21,CUST-0022,Customer 22,Office Supplies,Stapler,4,9.84,31.49,0.2,13.26,East,Credit Card
ORD-10209,2025-06-07,CUST-0055,Customer 55,Electronics,Smartphone,4,433.4,1560.24,0.1,290.42,West,Bank Transfer
ORD-10210,2025-04-14,CUST-0118,Customer 118,Electronics,Headphones,5,891.19,4010.36,0.1,812.86,South,Bank Transfer
ORD-10211,2025-08-19,CUST-0032,Customer 32,Electronics,Smartphone,1,739.97,702.97,0.05,144.26,North,Cash
ORD-10212,2025-08-25,CUST-0066,Customer 66,Electronics,Smartphone,1,127.98,108.78,0.15,21.04,East,Mobile Banking
ORD-10213,2025-07-15,CUST-0082,Customer 82,Furniture,Desk,7,138.38,871.79,0.1,255.23,West,Bank Transfer
ORD-10214,2025-08-27,CUST-0049,Customer 49,Furniture,Table Lamp,2,391.62,704.92,0.1,204.27,South,Mobile Banking
ORD-10215,2025-01-14,CUST-0073,Customer 73,Office Supplies,Stapler,7,34.03,238.21,0.0,99.85,South,Cash
